email,password,first_name,last_name,degree,major,year,bullhornid
dennism@mail.com,bull123horn,Dennis,Mosquera,MS,Computer Science,2015,4800404
ChrisHolland@mail.com,bull123horn,Chris,Holland,MS,Computer Science,2015,4800401
auppara@mail.com,bull123horn,Aashna,Uppara,MS,Computer Science,2015,4800386
bhargav@mail.com,bull123horn,Bhargav,Ikkuzhan,MS,Computer Science,2015,4800400
FosterLarabee@mail.com,bull123horn,Foster,Larabee,MS,Computer Science,2015,4800408
IchiroSugawara@mail.com,bull123horn,Ichiro,Sugawara,MS,Computer Science,2015,4800418
AmyL@mail.com,bull123horn,Amy,Lapham,MS,Computer Science,2015,4800398
yuchen@mail.com,bull123horn,Yuchen,Le,MS,Computer Science,2015,4800440
irish@mail.com,bull123horn,Iris,Zheng,MS,Computer Science,2015,4800419
vshaamsi@mail.com,bull123horn,Vikram,Shaamsi,MS,Computer Science,2015,4800436
ravi@mail.com,bull123horn,Ravi,Singh,MS,Computer Science,2015,4800426
xiochen@mail.com,bull123horn,Xiochen,Chen,MS,Computer Science,2015,4800439
ClarkWu@mail.com,bull123horn,Clark,Wu,BS,Computer Science,2015,nil
ezhu@mail.com,bull123horn,Elliot,Zhu,BS,Computer Science,2015,nil
chris@mail.com,bull123horn,Chris,Lavoie,BS,Computer Science,2015,nil
hyon@mail.com,bull123horn,Hyun,Sok,BS,Computer Science,2015,nil
jesse@mail.com,bull123horn,Jesse,Dow,BS,Computer Science,2015,nil
daniel@mail.com,bull123horn,Daniel,Sheridan,BS,Computer Science,2015,nil
Swolg@mail.com,bull123horn,Stephanie,Wolgemuth,BS,Computer Science,2015,nil
shari@mail.com,bull123horn,Shair,Hooda,BS,Computer Science,2015,nil
Stew@mail.com,bull123horn,Stewart,Harris,BS,Computer Science,2015,nil
Anthony@mail.com,bull123horn,Anthony,DiFranco,BE,Computer Engineering,2015,nil
bina@mail.com,bull123horn,Bina,Goss,BE,Computer Engineering,2015,nil
jslayton@mail.com,bull123horn,Jessica,Slayton,BE,Computer Engineering,2015,nil
whitneylu@mail.com,bull123horn,Whitney,Lu,BE,Computer Engineering,2015,nil
dweaver@mail.com,bull123horn,Donna,Weaver,BE,Computer Engineering,2015,nil
josh@mail.com,bull123horn,Joshua,Kim,BE,Computer Engineering,2015,nil
sunshine@mail.com,bull123horn,Sunshine,Lum,BE,Computer Engineering,2015,nil
krenzke@mail.com,bull123horn,Frank,Krenzke,BE,Computer Engineering,2015,nil
deepak@mail.com,bull123horn,Deepak,Jindal,BE,Computer Engineering,2015,nil
karina@mail.com,bull123horn,Karina,Devan,BE,Computer Engineering,2015,nil
Sfarragut@mail.com,bull123horn,Sheena,Farragut,BE,Computer Engineering,2015,nil
mikewatts@mail.com,bull123horn,Michael,Watts,MBA,IT Administration,2015,4800466
lewisnorth@mail.com,bull123horn,Lewis,North,MBA,Marketing,2015,4800452
normburrell@mail.com,bull123horn,Norm,Burrell,MBA,General,2015,4800476
PaulDeFilippo@mail.com,bull123horn,Paul,DeFilippo,MBA,Marketing,2015,4800477
lynnhull@mail.com,bull123horn,Lynn,Hull,MBA,IT Administration,2015,4800457
malinayoule@mail.com,bull123horn,Malina,Youle,MBA,Marketing,2015,4800459
MattMcIver@mail.com,bull123horn,Matt,McIver,MBA,General,2015,4800464
minalee@mail.com,bull123horn,Mi Na,Lee,MBA,Marketing,2015,nil
nPatel@mail.com,bull123horn,Naveen,Patel,MBA,IT Administration,2015,4800471
Pearlgibson@mail.com,bull123horn,Pearl,Gibson,MBA,Marketing,2015,4800478
PeterChung@mail.com,bull123horn,Peter,Chung,MBA,General,2015,4800479
RalphYang@mail.com,bull123horn,Ralph,Yang,MBA,Marketing,2015,4800483
